n_signals,hr,excess_hr,avg_ev_usd,median_hold_min,compounding,trades_per_month,direction,threshold,dynamic_sizing,ewma,fee_aware,late_entry_frac
3199,0.08690215692403876,-0.41500174781149163,5.567911536395596,13.0,-255.953688287698,571.25,YES,0.08,True,True,False,0.0
3115,0.07704654895666131,-0.4248573557788691,5.52032140592812,13.0,-259.7925218479876,556.25,YES,0.08,True,True,False,0.25
3092,0.07470892626131953,-0.42719497847421084,5.517987647430281,13.0,-261.1115018878088,552.1428571428572,YES,0.08,True,True,False,0.33
2830,0.08445229681978798,-0.4174516079157424,6.078517572315085,13.0,-281.075475800163,505.3571428571429,YES,0.08,True,True,True,0.0
2750,0.07381818181818182,-0.42808572291734853,6.033511499658182,13.0,-286.101430012945,491.0714285714286,YES,0.08,True,True,True,0.25
2728,0.07111436950146628,-0.4307895352340641,6.0335989448806115,13.0,-287.91263467427353,487.14285714285717,YES,0.08,True,True,True,0.33
2680,0.0873134328358209,-0.4145904718997095,3.771496201304826,13.0,-173.20169241602915,478.5714285714286,YES,0.1,False,False,False,0.0
2604,0.07680491551459294,-0.4250989892209374,3.747272790866635,13.0,-176.45116161960308,465.00000000000006,YES,0.1,False,False,False,0.25
2582,0.07436096049573973,-0.42754294423979067,3.745906420168181,13.0,-177.4008952311255,461.0714285714286,YES,0.1,False,False,False,0.33
2332,0.08361921097770154,-0.41828469375782884,3.9892694196784655,13.0,-184.83511431075826,416.42857142857144,YES,0.1,False,False,True,0.0
2260,0.07256637168141593,-0.42933753305411443,3.96565536414727,13.0,-188.59621192458147,403.5714285714286,YES,0.1,False,False,True,0.25
2241,0.07005800981704596,-0.4318458949184844,3.964078934271328,13.0,-189.62265765023045,400.17857142857144,YES,0.1,False,False,True,0.33
2665,0.08180112570356472,-0.42010277903196563,3.7487755684192012,13.0,-174.44725302572786,475.89285714285717,YES,0.1,False,True,False,0.0
2596,0.07203389830508475,-0.4298700064304456,3.72357996503832,13.0,-177.30336112784875,463.5714285714286,YES,0.1,False,True,False,0.25
2574,0.06915306915306915,-0.4327508355824612,3.7235926475483154,13.0,-178.49219035516532,459.64285714285717,YES,0.1,False,True,False,0.33
2315,0.07602591792656588,-0.4258779868089645,3.966262447010051,13.0,-187.10516670520298,413.39285714285717,YES,0.1,False,True,True,0.0
2251,0.06663705019991115,-0.4352668545356192,3.94016370281049,13.0,-189.9717409415343,401.9642857142857,YES,0.1,False,True,True,0.25
2229,0.063257065948856,-0.4386468387866744,3.9423160074366512,13.0,-191.55150876851343,398.03571428571433,YES,0.1,False,True,True,0.33
2680,0.0873134328358209,-0.4145904718997095,6.386421454181856,13.0,-293.28917366101126,478.5714285714286,YES,0.1,True,False,False,0.0
2604,0.07680491551459294,-0.4250989892209374,6.331615163880741,13.0,-298.1423859287996,465.00000000000006,YES,0.1,True,False,False,0.25
2582,0.07436096049573973,-0.42754294423979067,6.3297505412733805,13.0,-299.76814331661376,461.0714285714286,YES,0.1,True,False,False,0.33
2332,0.08361921097770154,-0.41828469375782884,6.970449679719827,13.0,-322.9623592212145,416.42857142857144,YES,0.1,True,False,True,0.0
2260,0.07256637168141593,-0.42933753305411443,6.918855254940978,13.0,-329.0426857899532,403.5714285714286,YES,0.1,True,False,True,0.25
2241,0.07005800981704596,-0.4318458949184844,6.91666725370722,13.0,-330.8604214187709,400.17857142857144,YES,0.1,True,False,True,0.33
2665,0.08180112570356472,-0.42010277903196563,6.330240098082896,13.0,-294.57431525289684,475.89285714285717,YES,0.1,True,True,False,0.0
2596,0.07203389830508475,-0.4298700064304456,6.271666835676246,13.0,-298.6340082072104,463.5714285714286,YES,0.1,True,True,False,0.25
2574,0.06915306915306915,-0.4327508355824612,6.273795028356583,13.0,-300.7373583649184,459.64285714285717,YES,0.1,True,True,False,0.33
