min_hr,min_mkts,min_mos,direction,entry_lo,entry_hi,n_windows,avg_HR,std_HR,min_HR,avg_ROI,std_ROI,min_ROI,total_PnL,avg_PnL,total_signals,avg_signals,avg_sharpe,min_sharpe,worst_dd,avg_pf,min_pf,avg_pct_pos_wk,avg_pool,avg_hhi,avg_top3,pos_windows,win_rate_windows,stability_score
0.65,10,6,NO,0.0,0.7,5,0.50304,0.029797785152591464,0.4601,88.09200000000001,73.77307686412435,14.5,533378.0,106675.6,9092,1818.4,4.118,2.47,5330.1,30.97,5.65,0.6424000000000001,211.2,0.44458000000000003,0.662,5,1.0,55.55546156793784
0.7,30,3,NO,0.0,0.5,5,0.36066000000000004,0.06432311404153256,0.2573,136.234,162.57282654244528,1.05,332049.0,66409.8,3015,603.0,2.476,0.29,8768.6,52.33399999999999,1.11,0.5532,337.4,0.31179999999999997,0.519,5,1.0,55.262586728777364
0.65,10,6,ALL,0.0,0.5,5,0.32822,0.044384028658966956,0.2776,83.48400000000001,67.07018883229718,13.62,543024.0,108604.8,8288,1657.6,3.4880000000000004,1.95,12366.5,17.13,2.51,0.6224000000000001,211.2,0.38188,0.6315999999999999,5,1.0,54.03490558385142
0.65,30,6,ALL,0.0,0.5,5,0.32816,0.04428411679146372,0.278,83.6,67.24042905871437,13.47,543154.0,108630.8,8279,1655.8,3.492,1.93,12623.7,17.186,2.5,0.6224000000000001,206.2,0.38212,0.6322,5,1.0,54.02078547064281
0.85,10,6,YES,0.0,0.5,3,0.4548666666666667,0.06793337422308221,0.4146,99.76666666666667,104.92112958471871,22.21,4409.0,1469.6666666666667,68,22.666666666666668,3.3266666666666667,2.0,671.0,4.486666666666667,1.99,0.629,22.0,0.37466666666666665,0.7006666666666667,3,1.0,53.96910187430731
0.85,30,6,YES,0.0,0.5,3,0.4548666666666667,0.06793337422308221,0.4146,99.76666666666667,104.92112958471871,22.21,4409.0,1469.6666666666667,68,22.666666666666668,3.3266666666666667,2.0,671.0,4.486666666666667,1.99,0.629,21.0,0.37466666666666665,0.7006666666666667,3,1.0,53.96910187430731
0.85,50,6,YES,0.0,0.5,3,0.45,0.07262155327449282,0.4,98.98333333333333,105.79481288481651,19.86,4293.0,1431.0,67,22.333333333333332,3.216666666666667,1.67,787.2,4.413333333333333,1.77,0.629,16.333333333333332,0.3765,0.7053333333333334,3,1.0,52.04392689092508
0.55,30,9,NO,0.0,0.5,5,0.3668,0.04150560203153304,0.3161,114.53399999999999,121.42504531603024,-7.18,642182.0,128436.4,7864,1572.8,2.97,-1.9,34517.2,68.47,0.48,0.5756,146.0,0.46196000000000004,0.6412,4,0.8,51.66747734198488
0.55,10,9,NO,0.0,0.5,5,0.3668,0.04150560203153304,0.3161,114.53399999999999,121.42504531603024,-7.18,642182.0,128436.4,7864,1572.8,2.97,-1.9,34517.2,68.47,0.48,0.5756,146.0,0.46196000000000004,0.6412,4,0.8,51.66747734198488
0.55,50,9,NO,0.0,0.5,5,0.3668,0.04150560203153304,0.3161,114.53399999999999,121.42504531603024,-7.18,642182.0,128436.4,7864,1572.8,2.97,-1.9,34517.2,68.47,0.48,0.5756,145.8,0.46196000000000004,0.6412,4,0.8,51.66747734198488
0.75,50,3,NO,0.0,0.7,5,0.5461400000000001,0.09601569142593305,0.4249,160.076,213.55482371044678,-7.93,341993.0,68398.6,2402,480.4,3.124,-2.31,11866.5,45.010000000000005,0.43,0.6599999999999999,108.4,0.36666,0.561,4,0.8,50.919588144776604
0.6,50,9,NO,0.0,0.7,5,0.48156,0.019029661058463432,0.4605,109.61600000000001,116.24670201773469,-2.4,666353.0,133270.6,8498,1699.6,3.3899999999999997,-0.71,25486.3,67.94800000000001,0.73,0.5756,110.4,0.4822,0.6654,4,0.8,50.77264899113267
